camera,camera_type,exposure_s,iso_gain,bortle_class,filter,sky_temp_c,sensor_temp_c,read_noise_e,dark_current_e_s,signal_e,total_noise_e,snr_single_sub,target_snr,recommended_subs,scenario_date
Nikon D7500,DSLR,30,800,3,None,0,3.3,5.0,0.0386,246.9,8.73,28.3,100,12,2025-12-11
Nikon D7500,DSLR,30,800,3,None,0,3.8,5.0,0.0393,259.9,8.73,29.8,100,11,2025-12-11
Nikon D7500,DSLR,30,800,3,None,0,1.0,5.0,0.0355,273.8,8.72,31.4,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,None,0,3.1,5.0,0.0384,264.3,8.73,30.3,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,None,5,8.0,5.0,0.0452,247.5,8.74,28.3,100,12,2025-12-11
Nikon D7500,DSLR,30,800,3,None,5,8.9,5.0,0.0464,271.3,8.74,31.0,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,None,5,8.1,5.0,0.0453,266.1,8.74,30.5,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,None,5,8.5,5.0,0.0459,236.4,8.74,27.0,100,13,2025-12-11
Nikon D7500,DSLR,30,800,3,None,10,13.4,5.0,0.0527,228.2,8.75,26.1,100,14,2025-12-11
Nikon D7500,DSLR,30,800,3,None,10,13.9,5.0,0.0534,256.6,8.75,29.3,100,11,2025-12-11
Nikon D7500,DSLR,30,800,3,None,10,12.8,5.0,0.0519,242.7,8.75,27.7,100,12,2025-12-11
Nikon D7500,DSLR,30,800,3,None,10,14.2,5.0,0.0539,269.7,8.75,30.8,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,None,15,17.6,5.0,0.0586,234.7,8.76,26.8,100,13,2025-12-11
Nikon D7500,DSLR,30,800,3,None,15,18.5,5.0,0.0599,227.2,8.76,25.9,100,14,2025-12-11
Nikon D7500,DSLR,30,800,3,None,15,18.4,5.0,0.0598,259.2,8.76,29.6,100,11,2025-12-11
Nikon D7500,DSLR,30,800,3,None,15,20.1,5.0,0.0622,273.4,8.77,31.2,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,0,2.5,5.0,0.0375,292.2,8.72,33.5,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,0,3.6,5.0,0.0391,281.4,8.73,32.2,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,0,2.9,5.0,0.038,298.5,8.73,34.2,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,0,2.2,5.0,0.037,310.2,8.72,35.6,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,5,8.7,5.0,0.0462,320.0,8.74,36.6,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,5,6.8,5.0,0.0436,288.7,8.74,33.1,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,5,7.3,5.0,0.0443,318.3,8.74,36.4,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,5,8.1,5.0,0.0454,287.3,8.74,32.9,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,10,13.9,5.0,0.0534,278.4,8.75,31.8,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,10,13.7,5.0,0.0532,270.4,8.75,30.9,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,10,13.3,5.0,0.0526,309.9,8.75,35.4,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,10,11.5,5.0,0.0502,316.8,8.75,36.2,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,15,17.5,5.0,0.0585,304.1,8.76,34.7,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,15,17.7,5.0,0.0588,276.9,8.76,31.6,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,15,17.1,5.0,0.058,298.3,8.76,34.0,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Enhance,15,16.3,5.0,0.0568,315.9,8.76,36.1,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,0,3.2,5.0,0.0384,303.2,8.73,34.7,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,0,3.7,5.0,0.0392,288.2,8.73,33.0,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,0,2.7,5.0,0.0377,296.2,8.73,33.9,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,0,3.9,5.0,0.0394,294.5,8.73,33.7,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,5,6.7,5.0,0.0434,284.0,8.74,32.5,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,5,7.1,5.0,0.0439,286.9,8.74,32.8,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,5,8.1,5.0,0.0454,309.7,8.74,35.4,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,5,7.6,5.0,0.0446,317.0,8.74,36.3,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,10,13.6,5.0,0.0531,294.4,8.75,33.6,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,10,13.5,5.0,0.0528,280.0,8.75,32.0,100,9,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,10,12.6,5.0,0.0517,275.4,8.75,31.5,100,10,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,10,11.8,5.0,0.0505,297.7,8.75,34.0,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,15,17.5,5.0,0.0585,300.1,8.76,34.2,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,15,18.5,5.0,0.0599,311.8,8.76,35.6,100,7,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,15,18.7,5.0,0.0601,292.9,8.76,33.4,100,8,2025-12-11
Nikon D7500,DSLR,30,800,3,Optolong L-Quad Enhance,15,17.6,5.0,0.0586,307.8,8.76,35.1,100,8,2025-12-11
Nikon D7500,DSLR,30,800,4,None,0,1.3,5.0,0.0358,211.0,11.23,18.8,100,28,2025-12-11
Nikon D7500,DSLR,30,800,4,None,0,1.7,5.0,0.0363,251.2,11.23,22.4,100,19,2025-12-11
Nikon D7500,DSLR,30,800,4,None,0,3.4,5.0,0.0388,239.2,11.23,21.3,100,22,2025-12-11
Nikon D7500,DSLR,30,800,4,None,0,2.6,5.0,0.0377,251.6,11.23,22.4,100,19,2025-12-11
Nikon D7500,DSLR,30,800,4,None,5,7.6,5.0,0.0447,240.0,11.24,21.3,100,21,2025-12-11
Nikon D7500,DSLR,30,800,4,None,5,7.1,5.0,0.0439,219.5,11.24,19.5,100,26,2025-12-11
Nikon D7500,DSLR,30,800,4,None,5,7.0,5.0,0.0439,248.5,11.24,22.1,100,20,2025-12-11
Nikon D7500,DSLR,30,800,4,None,5,8.8,5.0,0.0464,216.3,11.24,19.2,100,27,2025-12-11
Nikon D7500,DSLR,30,800,4,None,10,13.4,5.0,0.0528,233.6,11.25,20.8,100,23,2025-12-11
Nikon D7500,DSLR,30,800,4,None,10,12.4,5.0,0.0514,246.4,11.25,21.9,100,20,2025-12-11
Nikon D7500,DSLR,30,800,4,None,10,13.1,5.0,0.0523,240.1,11.25,21.3,100,21,2025-12-11
Nikon D7500,DSLR,30,800,4,None,10,13.2,5.0,0.0525,235.9,11.25,21.0,100,22,2025-12-11
Nikon D7500,DSLR,30,800,4,None,15,19.6,5.0,0.0614,236.9,11.26,21.0,100,22,2025-12-11
Nikon D7500,DSLR,30,800,4,None,15,17.0,5.0,0.0578,226.1,11.26,20.1,100,24,2025-12-11
Nikon D7500,DSLR,30,800,4,None,15,18.2,5.0,0.0595,229.7,11.26,20.4,100,24,2025-12-11
Nikon D7500,DSLR,30,800,4,None,15,18.8,5.0,0.0604,213.6,11.26,19.0,100,27,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,0,4.5,5.0,0.0402,280.8,11.23,25.0,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,0,2.4,5.0,0.0373,299.5,11.23,26.7,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,0,2.6,5.0,0.0377,267.5,11.23,23.8,100,17,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,0,3.6,5.0,0.0391,249.7,11.23,22.2,100,20,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,5,6.5,5.0,0.0431,275.0,11.24,24.5,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,5,8.3,5.0,0.0456,253.0,11.24,22.5,100,19,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,5,10.0,5.0,0.048,275.5,11.24,24.5,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,5,8.4,5.0,0.0458,280.0,11.24,24.9,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,10,10.9,5.0,0.0492,263.1,11.25,23.4,100,18,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,10,12.2,5.0,0.0511,277.1,11.25,24.6,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,10,12.4,5.0,0.0513,249.6,11.25,22.2,100,20,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,10,14.1,5.0,0.0537,297.9,11.25,26.5,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,15,17.8,5.0,0.059,279.0,11.26,24.8,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,15,16.3,5.0,0.0569,285.5,11.26,25.4,100,15,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,15,17.9,5.0,0.0591,288.5,11.26,25.6,100,15,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Enhance,15,18.1,5.0,0.0594,254.3,11.26,22.6,100,19,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,0,2.5,5.0,0.0375,261.1,11.23,23.2,100,18,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,0,2.0,5.0,0.0368,279.0,11.23,24.8,100,16,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,0,5.1,5.0,0.0412,294.2,11.24,26.2,100,14,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,0,3.8,5.0,0.0394,265.9,11.23,23.7,100,17,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,5,8.9,5.0,0.0465,264.5,11.24,23.5,100,18,2025-12-11
Nikon D7500,DSLR,30,800,4,Optolong L-Quad Enhance,5,7.8,5.0,0.045,262.5,11.24,23.4,100,18,2025-12-11
